"","album","title","artist","lyrics"
"1","Taylor Swift","Tim McGraw",NA,NA
"2","Taylor Swift","Picture to Burn",NA,NA
"3","Taylor Swift","Teardrops On My Guitar",NA,NA
"4","Taylor Swift","A Place In This World","Taylor Swift","I don't know what I want, so don't ask me
'Cause I'm still trying to figure it out
Don't know what's down this road, I'm just walking
Trying to see through the rain coming down
Even though I'm not the only one
Who feels the way I do

I'm alone, on my own, and that's all I know
I'll be strong, I'll be wrong, oh, but life goes on
Oh, I'm just a girl trying to find a place in this world

Got the radio on, my old blue jeans
And I'm wearing my heart on my sleeve
Feeling lucky today, got the sunshine
Could you tell me what more do I need?
And tomorrow's just a mystery, oh, yeah
But that's okay

I'm alone, on my own, and that's all I know
I'll be strong, I'll be wrong, oh, but life goes on
Oh, I'm just a girl trying to find a place in this world

Maybe I'm just a girl on a mission
But I'm ready to fly

I'm alone, on my own, and that's all I know
I'll be strong, I'll be wrong, oh, but life goes on
Oh, I'm alone, on my own, and that's all I know
Oh, I'm just a girl trying to find a place in this world

Oh, I'm just a girl
Oh, I'm just a girl, oh, oh
Oh, I'm just a girl"
"5","Taylor Swift","Cold as You","Taylor Swift","You have a way of coming easily to me
And when you take, you take the very best of me
So I start a fight 'cause I need to feel something
And you do what you want 'cause I'm not what you wanted

Oh, what a shame, what a rainy ending
Given to a perfect day
Just walk away, ain't no use defending
Words that you will never say
And now that I'm sitting here thinking it through
I've never been anywhere cold as you

You put up walls and paint them all a shade of gray
And I stood there loving you and wished them all away
And you come away with a great little story
Of a mess of a dreamer with the nerve to adore you

Oh, what a shame, what a rainy ending
Given to a perfect day
So just walk away, ain't no use defending
Words that you will never say
And now that I'm sitting here thinking it through
I've never been anywhere cold as you

You never did give a damn thing, honey
But I cried, cried for you
And I know you wouldn't have told nobody
If I died, died for you, died for you

Oh, what a shame, what a rainy ending
Given to a perfect day, oh
Every smile you fake is so condescending
Counting all the scars you made
And now that I'm sitting here thinking it through
I've never been anywhere cold as you
Ooh-oh"
"6","Taylor Swift","The Outside",NA,NA
"7","Taylor Swift","Tied Together with a Smile",NA,NA
"8","Taylor Swift","Stay Beautiful",NA,NA
"9","Taylor Swift","Should've Said No",NA,NA
"10","Taylor Swift","Mary's Song (Oh My My My)",NA,NA
